No,Item,Category,Selling Price
1,DELMONTE,SOFT DRINKS,400
2,LIME CORDIAL,SOFT DRINKS,20
3,MINERAL 1LTR,SOFT DRINKS,100
4,PREDATOR,SOFT DRINKS,120
5,RED BULL,SOFT DRINKS,250
6,SODA 300ML,SOFT DRINKS,100
7,TONIC,SOFT DRINKS,150
8,LEMONADE,SOFT DRINKS,120
9,G.K SMOOTH,BEERS & STOUTS,250
10,G.K,BEERS & STOUTS,270
11,BALOZI,BEERS & STOUTS,250
12,PILSNER,BEERS & STOUTS,250
13,BLACK ICE,BEERS & STOUTS,250
14,SNAP,BEERS & STOUTS,250
15,MANYATTA,BEERS & STOUTS,300
16,TUSKER LAGER,BEERS & STOUTS,250
17,TUSKER CIDER,BEERS & STOUTS,300
18,TUSKER LITE,BEERS & STOUTS,250
19,PUNCH BOTTLE,BEERS & STOUTS,250
20,TUSKER MALT,BEERS & STOUTS,250
21,WHITE CAP LAGER,BEERS & STOUTS,270
22,TUSKER LITE CAN,BEERS & STOUTS,350
23,TUSKER CAN,BEERS & STOUTS,300
24,TUSKER CIDER CAN,BEERS & STOUTS,350
25,WHITE CAP CAN,BEERS & STOUTS,300
26,GUINNESS SMOOTH CAN,BEERS & STOUTS,300
27,GUINNESS CAN,BEERS & STOUTS,300
28,TUSKER MALT CAN,BEERS & STOUTS,350
29,BALOZI CAN,BEERS & STOUTS,300
30,HEINEKEN ZERO,BEERS & STOUTS,320
31,GORDON'S CAN,BEERS & STOUTS,300
32,PINEAPPLE PUNCH,BEERS & STOUTS,300
33,FAXE,BEERS & STOUTS,400
34,GUARANA,BEERS & STOUTS,300
35,SAVANNAH,BEERS & STOUTS,330
36,HEINEKEN BOTTLE,BEERS & STOUTS,370
37,HEINEKEN CAN,BEERS & STOUTS,400
38,HUNTERS GOLD,CIDERS,300
39,HUNTERS 750ML,CIDERS,1600
40,HUNTERS 375ML,CIDERS,800
41,HUNTERS 250ML,CIDERS,450
42,MUCK PIT 750ML,RUM,1800
43,MUCK PIT 250ML,RUM,600
44,CAPTAIN MORGAN GOLD 750ML,RUM,1700
45,CAPTAIN MORGAN 250ML,RUM,550
46,GILBEYS GIN 750ML,GIN,2000
47,GILBEYS GIN 375ML,GIN,1000
48,GILBEYS GIN 250ML,GIN,650
49,TANQUERAY 750ML,GIN,3500
50,SMIRNOFF VODKA 750ML,VODKA,2000
51,SMIRNOFF VODKA 350ML,VODKA,1000
52,SMIRNOFF VODKA 250ML,VODKA,650
53,RICHOT 750ML,BRANDY,2000
54,RICHOT 375ML,BRANDY,1000
55,RICHOT 250ML,BRANDY,650
56,VICEROY 750ML,BRANDY,2100
57,VICEROY 375ML,BRANDY,1100
58,VICEROY 250ML,BRANDY,650
59,V & A 750ML,BRANDY,1200
60,V & A 250ML,BRANDY,400
61,ALL SEASONS 1LTR,BRANDY,2000
62,ALL SEASONS 750ML,BRANDY,1800
63,ALL SEASONS 500ML,BRANDY,1000
64,ALL SEASONS 350ML,BRANDY,900
65,ALL SEASONS 250ML,BRANDY,550
66,KC 750ML,SPIRITS,1400
67,KC 350ML,SPIRITS,650
68,KC 250ML,SPIRITS,450
69,KIBAO 750ML,SPIRITS,1200
70,KIBAO 375ML,SPIRITS,550
71,KIBAO 250ML,SPIRITS,350
72,CHROME 750ML,SPIRITS,1300
73,CHROME 250ML,SPIRITS,450
74,KONYAGI 750ML,SPIRITS,1400
75,KONYAGI 350ML,SPIRITS,850
76,KONYAGI 250ML,SPIRITS,450
77,BLACK & WHITE 1LTR,WHISKY,2500
78,BLACK & WHITE 750ML,WHISKY,1800
79,BLACK & WHITE 375ML,WHISKY,1000
80,BLACK & WHITE 250ML,WHISKY,600
81,IMPERIAL BLUE 750ML,WHISKY,1500
82,IMPERIAL BLUE 375ML,WHISKY,750
83,WILLIAM LAWSON'S 750ML,WHISKY,2800
84,WILLIAM LAWSON'S 375ML,WHISKY,1400
85,BEST WHISKY 750ML,WHISKY,2000
86,BEST WHISKY 250ML,WHISKY,600
87,GRANT'S 1LTR,WHISKY,3200
88,GRANT'S 750ML,WHISKY,2700
89,GRANT'S 375ML,WHISKY,1400
90,BALLANTINE'S 700ML,WHISKY,3500
91,BALLANTINE'S 1LTR,WHISKY,4000
92,VAT 69 750ML,WHISKY,2500
93,VAT 69 350ML,WHISKY,1300
94,BOND 7 750ML,WHISKY,2000
95,BOND 7 375ML,WHISKY,1000
96,BOND 7 250ML,WHISKY,650
97,FAMOUS GROUSE 1LTR,WHISKY,4000
98,FAMOUS GROUSE 750ML,WHISKY,3000
99,J&B RARE 750ML,WHISKY,3000
100,J&B RARE 375ML,WHISKY,1500
101,JAMESON 1LTR,WHISKY,5000
102,JAMESON 750ML,WHISKY,4000
103,JAMESON 375ML,WHISKY,2000
104,JOHNNIE WALKER RED 750ML,WHISKY,3500
105,JOHNNIE WALKER RED 375ML,WHISKY,1800
106,JACK DANIEL HONEY 750ML,WHISKY,5000
107,JACK DANIEL 1LTR,WHISKY,6500
108,JACK DANIEL 750ML,WHISKY,5000
109,JACK DANIELS 375ML,WHISKY,2500
110,JOHNNIE WALKER BLACK 1LTR,WHISKY,7000
111,JOHNNIE WALKER BLACK 750ML,WHISKY,6000
112,JOHNNIE WALKER BLACK 375ML,WHISKY,2800
113,JOHNNIE WALKER BLACK 250ML,WHISKY,1600
114,JOHN BAR RED 1LTR,WHISKY,3000
115,JOHN BAR BLACK 1LTR,WHISKY,3500
116,JOHN BAR BLACK 750ML,WHISKY,2500
117,SINGLETON 700ML,WHISKY,7500
118,BAILEYS 750ML,LIQUEURS,3500
119,AMARULA,LIQUEURS,1800
120,JAGERMEISTER 1LTR,LIQUEURS,5000
121,JAGERMEISTER 750ML,LIQUEURS,4000
122,SOUTHERN COMFORT 750ML,LIQUEURS,4000
123,JOSE CUERVO 750ML,TEQUILA,3800
124,HENNESSY MARTELL,COGNAC,8000
125,CAPRICE 1LTR,WINES,1500
126,KINGFISHER,WINES,300
127,DROST OFF,WINES,1500
128,ROBERTSON,WINES,2000
129,ALTER WINE,WINES,1650
130,CELLAR RED/WHITE,WINES,1500
131,4TH STREET / 4 COUSINS,WINES,1500
132,NEDERBURG,WINES,2500
133,JOSE CUERVO TOT,TOTS,170
134,CAMINO TOT,TOTS,150
135,GILBEYS TOT,TOTS,130
136,JACK DANIELS TOT,TOTS,250
137,JAGERMEISTER TOT,TOTS,200
138,JOHNNIE WALKER BLACK TOT,TOTS,250
139,RED WINE GLASS,GLASSWARE,250
140,WINE GLASSES,GLASSWARE,200
141,TOT GLASSES,GLASSWARE,200
142,WHISKY GLASSES,GLASSWARE,100
143,BEER GLASSES,GLASSWARE,100
144,MARA MOJA,PAIN KILLERS,20
145,DUNHILL,CIGARETTES & MATCHBOX,35
146,EMBASSY,CIGARETTES & MATCHBOX,35
147,SPORTSMAN,CIGARETTES & MATCHBOX,35
148,MATCHES,CIGARETTES & MATCHBOX,10
